,pageNumber,pageSize,previousPage,nextPage,pages,total,data,id,name,iso3,iso2,longitude,latitude
33,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 498, 'name': 'Republic of Moldova', 'iso3': 'MDA', 'iso2': 'MD', 'longitude': 28.369884490966797, 'latitude': 47.4116325378418}",498,Republic of Moldova,MDA,MD,28.369884490966797,47.4116325378418
34,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 499, 'name': 'Montenegro', 'iso3': 'MNE', 'iso2': 'ME', 'longitude': 19.3743896484375, 'latitude': 42.70867919921875}",499,Montenegro,MNE,ME,19.3743896484375,42.70867919921875
35,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 500, 'name': 'Montserrat', 'iso3': 'MSR', 'iso2': 'MS', 'longitude': -62.1873664855957, 'latitude': 16.74249839782715}",500,Montserrat,MSR,MS,-62.1873664855957,16.74249839782715
36,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 504, 'name': 'Morocco', 'iso3': 'MAR', 'iso2': 'MA', 'longitude': -7.092619895935059, 'latitude': 31.791702270507812}",504,Morocco,MAR,MA,-7.092619895935059,31.791702270507812
37,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 508, 'name': 'Mozambique', 'iso3': 'MOZ', 'iso2': 'MZ', 'longitude': 35.529563903808594, 'latitude': -18.665695190429688}",508,Mozambique,MOZ,MZ,35.529563903808594,-18.665695190429688
38,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 512, 'name': 'Oman', 'iso3': 'OMN', 'iso2': 'OM', 'longitude': 55.92325592041016, 'latitude': 21.512582778930664}",512,Oman,OMN,OM,55.92325592041016,21.512582778930664
39,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 516, 'name': 'Namibia', 'iso3': 'NAM', 'iso2': 'NA', 'longitude': 18.49040985107422, 'latitude': -22.957639694213867}",516,Namibia,NAM,NA,18.49040985107422,-22.957639694213867
40,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 520, 'name': 'Nauru', 'iso3': 'NRU', 'iso2': 'NR', 'longitude': 166.93150329589844, 'latitude': -0.5227779746055603}",520,Nauru,NRU,NR,166.93150329589844,-0.5227779746055603
41,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 524, 'name': 'Nepal', 'iso3': 'NPL', 'iso2': 'NP', 'longitude': 84.12400817871094, 'latitude': 28.39485740661621}",524,Nepal,NPL,NP,84.12400817871094,28.39485740661621
42,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 528, 'name': 'Netherlands', 'iso3': 'NLD', 'iso2': 'NL', 'longitude': 5.291265964508057, 'latitude': 52.13263320922851}",528,Netherlands,NLD,NL,5.291265964508057,52.13263320922851
43,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 531, 'name': 'Curaçao', 'iso3': 'CUW', 'iso2': 'CW', 'longitude': -68.99002075195312, 'latitude': 12.169569969177246}",531,Curaçao,CUW,CW,-68.99002075195312,12.169569969177246
44,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 533, 'name': 'Aruba', 'iso3': 'ABW', 'iso2': 'AW', 'longitude': -69.96833801269531, 'latitude': 12.521109580993652}",533,Aruba,ABW,AW,-69.96833801269531,12.521109580993652
45,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 534, 'name': 'Sint Maarten (Dutch part)', 'iso3': 'SXM', 'iso2': 'SX', 'longitude': -63.054828643798835, 'latitude': 18.04248046875}",534,Sint Maarten (Dutch part),SXM,SX,-63.054828643798835,18.04248046875
46,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 535, 'name': 'Bonaire, Sint Eustatius and Saba', 'iso3': 'BES', 'iso2': 'BQ', 'longitude': -68.23853302001953, 'latitude': 12.17836093902588}",535,"Bonaire, Sint Eustatius and Saba",BES,BQ,-68.23853302001953,12.17836093902588
47,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 540, 'name': 'New Caledonia', 'iso3': 'NCL', 'iso2': 'NC', 'longitude': 165.6180419921875, 'latitude': -20.90430450439453}",540,New Caledonia,NCL,NC,165.6180419921875,-20.90430450439453
48,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 548, 'name': 'Vanuatu', 'iso3': 'VUT', 'iso2': 'VU', 'longitude': 166.9591522216797, 'latitude': -15.376706123352053}",548,Vanuatu,VUT,VU,166.9591522216797,-15.376706123352053
49,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 554, 'name': 'New Zealand', 'iso3': 'NZL', 'iso2': 'NZ', 'longitude': 174.88597106933594, 'latitude': -40.90055847167969}",554,New Zealand,NZL,NZ,174.88597106933594,-40.90055847167969
